,Unnamed: 0,cid,text,time,author,channel,votes,photo,heart,time_parsed,label
0,0,UgyjCKotpoD-mRfeyaN4AaABAg,Proud of you kuya cocon at sa buong pamilya ng team payaman ☝️😇 #MatasaLangitPaasaLupa #chickenFeetGang,1 month ago,Vncnt TV,UCMEGW6BaHbmfmuzRV3CZDQw,0,https://yt3.ggpht.com/ytc/AMLnZu9ji67TL99h28oWV7ztoLcJBidt32EJfHGL0XI=s176-c-k-c0x00ffffff-no-rj,False,1657994931.632478,others
1,1,Ugy2MV9DoJxdzpTpQVx4AaABAg,"Mangiyak-ngiyak ako sa sobrang solid at pagiging humble mo master. Salute and good luck po sa mga araw na dadating. Sa lahat ho ng nangyayari at natatamasa niyo, 10 M ang nakasaksi at makakapagsabi na deserve niyo lahat ng blessing dahil sa hardword at pagiging honest niyo. Chicken Feet Gang: Isang Kahig, si Cong ang Mukha. 🤙",1 month ago,Jae x,UCjiWBY08aiLymrNF9_qEVlw,2,https://yt3.ggpht.com/ytc/AMLnZu8gQUOVZA5GWWnkLNolfAukU1Cqb97QBNuJxcObQQ=s176-c-k-c0x00ffffff-no-rj,False,1657994931.637814,others
2,2,Ugz_kNQlJkZxDk5HiB54AaABAg,Congratulations po kuya Cong more subscribers to your blog 💖 💓,1 month ago,Darinne Amores,UCpvOS-Vydr8XWiE1J3etvbw,0,https://yt3.ggpht.com/ytc/AMLnZu-TN65idhNwGzHHpnGZHHGpTas7f5i76TdsMiJotQv90S1DsubPAo7KPspRrf1P=s176-c-k-c0x00ffffff-no-rj,False,1657994931.639048,compliment
3,3,UgzBJdx_LqOVAJYzn614AaABAg,Congratulations boss Cong ❤️❤️❤️,1 month ago,Ronald Hermones,UCL5MQaIq_msfWiFVyQc6ktA,0,https://yt3.ggpht.com/ytc/AMLnZu-pe_eruLqqkt1cj2TNYSof7nwWr7Lx61U5w8iNYQ_KjNcPrueHBunukO5PRLbR=s176-c-k-c0x00ffffff-no-rj,False,1657994931.643054,compliment
4,4,UgzNz_T5FJhg1shXHhd4AaABAg,Ang saya Siguro ni kuya Emman sa Langit no? Congrats kuya cong!,1 month ago,Ransu,UCEYHFI6wmjVST7jveXKDY_g,0,https://yt3.ggpht.com/nTEMWoMkytaDexvmg_l2lMyO8yulRpElupfSxMUcEf4pFu-iTShlga8k_RNBnn2dfvQB8-K_sw=s176-c-k-c0x00ffffff-no-rj,False,1657994931.647039,others
5,5,UgxijVTNf35B9Aht6H94AaABAg,Congrats 🎉👏 nakaka proud po kayo Kuya cong☺️,1 month ago,Patricia Ann Silva,UCo0SXjtjnaJixkANORTnRsA,0,https://yt3.ggpht.com/ytc/AMLnZu8Pn0lXNe4l-GcNd8IEUTSYLlmCaArgZBnl0J3r9w=s176-c-k-c0x00ffffff-no-rj,False,1657994931.652375,compliment
6,6,UgzgodJjcWbOnnx_fFh4AaABAg,Congrats congtv.. balato thanks 😁😍,1 month ago,ewoks,UCHusu-yLrpjWF_m8G8-98wg,0,https://yt3.ggpht.com/ytc/AMLnZu93hqU37N_Trdt7d_i6-OIP4lX5I5t0_8RzRVQcZw1SRRB5V2KrnfylhvJT9Oeo=s176-c-k-c0x00ffffff-no-rj,False,1657994931.653664,compliment
7,7,UgxF6bm3Xco6EaaU2Al4AaABAg,"Congrats bossing. Pinaka favorite ko lahat sa vlog mo na nainspire ako is ung ""TYARGER"" last part :) :)",1 month ago,Silver Jude Vargas,UCM7KU8mZPQa87k8YD--eRDw,0,https://yt3.ggpht.com/ytc/AMLnZu8ygvsOBJL-QxpAIIxinWFUqffiQ3mlEZ0XQDjJ=s176-c-k-c0x00ffffff-no-rj,False,1657994931.657731,compliment
8,8,UgxaDyogH5PJz0LvIwh4AaABAg,"nakakamiss yung ""Chicken feet out!"" na outro mo.. Sobrang dalang mo ng ginagawa yan.. regardless, 100% Congtv all the way!!",1 month ago (edited),Zack TV,UCx-vuUgEHus0wTSMAUf-o4w,0,https://yt3.ggpht.com/ytc/AMLnZu8b1cKR09OWHFOgG8qJZRT_XE9vod1BQyQ_3D75=s176-c-k-c0x00ffffff-no-rj,False,1657994931.66167,others
9,9,Ugyjy2fSJEGvbQ1hLFt4AaABAg,Salamat sa inspirasyon Boss Cong  🔥 Congrats,1 month ago,Rhodel Andrew Jerusalem,UCrMl6Hv0lNstSgNezdJ7YyA,0,https://yt3.ggpht.com/oyS10sOzyOcnuNGGteDaIdnkseWLwrAEA4q2q__CQYVG6iBF2HSqdw-tbrh66iqQaa4-A50M=s176-c-k-c0x00ffffff-no-rj,False,1657994931.667245,compliment
10,10,UgysTY2d1BRLWpNXWfp4AaABAg,Ayaw kol!,1 month ago,Loytags Official,UCKaxBaGNez9LHbeJf5YewZg,0,https://yt3.ggpht.com/ytc/AMLnZu-Fs4AtlljwUBSYqEJ1Gbs3txgZL0tV792JJ5dF=s176-c-k-c0x00ffffff-no-rj,False,1657994931.668539,others
11,11,UgwUfrnl0M_oUCHVojp4AaABAg,Kakagoodvibes talaga kayo kua Cong 💓 Congratulations 🎊 Sana mas marami pa kaming vlog na mapanuöd sa inyo ni vivys at ng team payaman pati anak Kong 5 yrs old naimpluwensyahan kuna sa panunuod sa inyo 😂 Godbless you all mwaaah 😘,1 month ago,Riza Francisco,UCdT6X7UZVbyas9rAfm1HOug,0,https://yt3.ggpht.com/ytc/AMLnZu_-T3ZJnHBArcJr-n2wW8qkuk51lfiZn5Z5qty0=s176-c-k-c0x00ffffff-no-rj,False,1657994931.672605,compliment
12,12,UgzfuZYHJH15oeYtFtF4AaABAg,Happy 10m idol Cong 🥳,2 months ago,🌼Jhen Patss🌼,UCCyr4NaaCE09B66QGOqmDgg,0,https://yt3.ggpht.com/ZxrPB-ekSZ8CJTwXgVry6zWPOO1IgfSFaFItNhF4af_HfTgdetnqaq3rLoFeNQokt3kFJJULNw=s176-c-k-c0x00ffffff-no-rj,False,1655402931.676545,compliment
13,13,Ugx7rxVGqfkjwf99xA94AaABAg,💙💙💙💙💙,2 months ago,Christian Villanueva,UCAvaJQUAmhFayQ5Euv2n-Rw,0,https://yt3.ggpht.com/ytc/AMLnZu81DskOCKSLLqhWy1Spu-FP5IguPhzVW8aJGzAkvg=s176-c-k-c0x00ffffff-no-rj,False,1655402931.682013,others
14,14,UgyldqTDiN99OPga8Ch4AaABAg,"as a fan, nakakatuwa lng na sa simula nung clip ng counting ng subs mula 0 hanggang 10M, lahat ng clips na yon ay natatandaan ko. tapos ung KWIIIK!!! nostalgic.",2 months ago,JayJay Pandinuela,UCLIF5OsoNKlntV-lnW9BYUw,3,https://yt3.ggpht.com/ytc/AMLnZu-GqM_3vpiZJ1XZIhZnoj247YWXM66Mv9Mw1RXLDw=s176-c-k-c0x00ffffff-no-rj,False,1655402932.059869,others
15,15,UgyjN-y9Uo1K0-028SR4AaABAg,Congrats lodi cong tv. nka subscribe ako since 2018 lodi na kita. pina panood na kita 2017 po❤️❤️ isa ka sa inspiration❤️❤️❤️,2 months ago,Ali Po,UCKerdsb46qB3E2M1m5SmfxQ,0,https://yt3.ggpht.com/ytc/AMLnZu-iIv5UIAb_hxHzDgChSyYeeJ6rI0TqOSCNbBnAxA=s176-c-k-c0x00ffffff-no-rj,False,1655402932.06467,compliment
16,16,UgyM1P7fcbCFZJ_VOzx4AaABAg,Boss boss boss,2 months ago,KA AYUS YAN TV,UCOFsKwHSZxxY9sMfEbcaX9A,0,https://yt3.ggpht.com/nst-YaCXSR0TU8W_xKag96M2di0UrGn-2uDY4CApkBIkG0BxnRphgzRSx7hrLS5_S15lEKmpA5k=s176-c-k-c0x00ffffff-no-rj,False,1655402932.06467,others
17,17,Ugx5NwKdIMfZ7H2St_B4AaABAg,since first vid napanood ko ❤️,2 months ago,Santi,UC7OYtDfFtoO5fSf8cmLkuNg,0,https://yt3.ggpht.com/ytc/AMLnZu8yFEbXNDEaHld2s5Td0Fe2DXYId_mV5ZAZQLGXHA=s176-c-k-c0x00ffffff-no-rj,False,1655402932.068741,others
18,18,UgxRPfEbxNrYX3Filml4AaABAg,Waiting sa pag hagis ng diamond🥰🤣🤣,2 months ago,Mark Rey Nasser Remodo,UCcr-ktniwSi_y_PTaWoS-mw,0,https://yt3.ggpht.com/ytc/AMLnZu_Tm_O7Vv5qYcsfediz9FQoChkPvX6uI-PCDJbO=s176-c-k-c0x00ffffff-no-rj,False,1655402932.072675,suggestion
19,19,UgwCGOJH8fDsT2CVAyZ4AaABAg,Congratz CONGTV TEAM PAYAMAN  deserve lahat ng yan!!!!!,2 months ago,Mema Swabe,UCyVJ_BOAbkNYL_4yLHUYMZQ,1,https://yt3.ggpht.com/ytc/AMLnZu-4tnxFkVKSjEQ9ulv96c-a69AkhbKvjPs7iLKsRw=s176-c-k-c0x00ffffff-no-rj,False,1655402932.076675,compliment
20,20,Ugwk2FtIrvR808Jjyzh4AaABAg,Legend cong tv dami mo na iinspire na tao,2 months ago,Laffy 2810,UCGXzP3p0bsoCCAPZ0PBOiTA,0,https://yt3.ggpht.com/GBdnO_92-p8SBlayIUEGw3qmnHtWyPZ0nQgUH5RCGJbkqn4t3IfgfupMV_RwMVOKAMdRq8LR=s176-c-k-c0x00ffffff-no-rj,False,1655402932.080674,compliment
21,21,Ugx9qtBjG3mp5AFZteh4AaABAg,Congratulations Cong TV 🎉 Deserve mo yan ♥️,2 months ago,Nelle Nicdao,UC5ACAzffbo0rn6WZOQqL54Q,0,https://yt3.ggpht.com/ytc/AMLnZu-FJqkHRRJ0C6KEuUOYfafBXhr5YkrQTDD2AyERWA=s176-c-k-c0x00ffffff-no-rj,False,1655402932.087451,compliment
22,22,UgzBQhmU_FeiihKBDmB4AaABAg,Nasa siqui,2 months ago,Hannah Diel,UCgMiCRo9WwnbmnLApBb16vQ,0,https://yt3.ggpht.com/ytc/AMLnZu9-L4cdBQEiPRhwVTesdpRb8jVqOL0M2bNBtxLw0w=s176-c-k-c0x00ffffff-no-rj,False,1655402932.08767,others
23,23,UgwM95cqFhPFc06hsm94AaABAg,Pawer ! Pawer !,2 months ago,Bummy Vlogs,UCbQ7Tzk2JWHaAF7cc6zbV-A,0,https://yt3.ggpht.com/5fajmJ90wn0EZLyNb5drSXALQnMfotEKatfgZ9fwziETT9EMQ8BzJ4b8wrGJIF4IBvKZQ7QrcA=s176-c-k-c0x00ffffff-no-rj,False,1655402932.091736,others
24,24,Ugw1MnfGOGCJyakQc814AaABAg,"HI BOSS COCON, ICACAPSLOCK KO NA TONG COMMENT KO PARA MAPANSIN MO AKO, PANO KITA MAKOKONTAK?",2 months ago,Macoy Official,UCcIOdmzmg87_DsoMNUNdzqw,0,https://yt3.ggpht.com/YLCfqD3RDUHAppYBP4ltxn0gDY2wVcJZuHCXl_4Mo5rsQAz46Yk_xR1JPJK3i8QiMDYaEBP7lA=s176-c-k-c0x00ffffff-no-rj,False,1655402932.095675,others
25,25,Ugx-xSA55RjUaotOH_R4AaABAg,namiss ko yung outro😭!!!! powerrrr!!!,2 months ago,KJ Gelacio,UCffXmIXyQDhg9TIhWZSJDoA,0,https://yt3.ggpht.com/ytc/AMLnZu8JdDqW6BNLLVigznyw5vkGAuxPmGc5E5nS4w=s176-c-k-c0x00ffffff-no-rj,False,1655402932.099676,others
26,26,UgxNID5I8syh3s4wup94AaABAg,Napaka lupit mo boss Cong💪,2 months ago,Naidel Raymundo,UCIcv2aTFWVTlpA5XMsgEc4A,0,https://yt3.ggpht.com/ytc/AMLnZu8TgXVJp1KNIFniqFXVCMsOpZyJ6oYlZ-hTio8g8v3DljVsq7vGqLAtYTZGHApU=s176-c-k-c0x00ffffff-no-rj,False,1655402932.107011,others
27,27,UgxD_s1rlV65zBSEPIp4AaABAg,"Congratulations to the one of the best creators in the Philippines, Cong Tv!!",2 months ago (edited),Danahlin Ramilo,UCVN91FJENL99pegxbEPfG-g,0,https://yt3.ggpht.com/ytc/AMLnZu8Ks2yy-_l0PYKOCBNDTQDHi__VSx9zBa9VCQIwRw=s176-c-k-c0x00ffffff-no-rj,False,1655402932.115011,compliment
28,28,UgxzjR_EMmrvA_QZ5l14AaABAg,Iba ka talaga kuya cong..iba ka talaga👏🎉🥰❤️,2 months ago,Kimberly Arroyo,UCLQo4U5L5yDbcLpMUD7CLSQ,0,https://yt3.ggpht.com/ytc/AMLnZu9Ypo2f5LKMg2YuDv1N5yIqFCtGHNqHe5wTFw=s176-c-k-c0x00ffffff-no-rj,False,1655402932.120466,compliment
29,29,Ugy8af63os9Jritdc3x4AaABAg,Ang lalim mo Cong!! 💯,2 months ago,King Gyapo,UCwqwF-JQQTP0mDysv-TOWyA,0,https://yt3.ggpht.com/ytc/AMLnZu_TeLqzCqfAadJ-J9r9i5Kqed8-2rT56fHeF5nQ=s176-c-k-c0x00ffffff-no-rj,False,1655402932.125276,others
30,30,UgxrSGWCk7Z7jJYovRN4AaABAg,Congrats boss tagal nadin pala kitang pinapanood AHAHAHAH,2 months ago,Nesk Oner,UCsdICRWmseImeSrxOdj_0WA,0,https://yt3.ggpht.com/ytc/AMLnZu9MnjsIepQP9h3FwyZCN1QOaWftjS7YCaKRrlsS0w=s176-c-k-c0x00ffffff-no-rj,False,1655402932.129342,compliment
31,31,Ugx0lxpiqtTkVctuJSN4AaABAg,THANK YOU FOR INSPIRING US <33,2 months ago (edited),Pc Ni Juan 2,UC2kTDxmfXjqkWLubvsdbSHg,0,https://yt3.ggpht.com/ytc/AMLnZu_XvNZPayk3VjBH4FrwbElFjw8a05B5877X_0UM=s176-c-k-c0x00ffffff-no-rj,False,1655402932.133251,compliment
32,32,Ugwet84tfu6ZtdFwcLN4AaABAg,congrats pangarap🎉,2 months ago,Luffytaro Ignacio,UChpR21gzj0gQHv2TnlHai6w,0,https://yt3.ggpht.com/ytc/AMLnZu-RnykCt83NX5UqbrVZWZuk9DtZqxIhO-uy-KhbbtCsmH1oIwwNb667oCukZQr1=s176-c-k-c0x00ffffff-no-rj,False,1655402932.139071,others
33,33,UgzJj6eLutKwqgp8cK54AaABAg,Solid ka boss ☝️♥️,2 months ago,Jerome Jaylo,UCrN3LOJOvlihLEL35PJVgAg,0,https://yt3.ggpht.com/WuI9EEzY9hzRB-_eH1AFCwj0NBYjv6Eph8LWFxVuRqVboQcMyWjZ3u5H6DCf94ZUu0H7X6FZWg=s176-c-k-c0x00ffffff-no-rj,False,1655402932.140296,others
34,34,Ugxj5szzw1ypzPYgOed4AaABAg,Deserve 🎉 Hindi nalimutan ni cong si emman 🥺💗 Congratulations cong. Pawerrrr,2 months ago,Hazel Joy Pedernal,UCNuEKvaa9tUpzuyxVFEo4tQ,0,https://yt3.ggpht.com/ytc/AMLnZu-sFZAEpHT8Yix8Eh9lA8nC-Y6j3lxpm77B7-co6A=s176-c-k-c0x00ffffff-no-rj,False,1655402932.529726,others
35,35,Ugy5TsasLv8NK0xIaOd4AaABAg,Congrats team payaman,2 months ago,mhonztoriders,UCWDJPOWdkprReqXWnzXWdwA,0,https://yt3.ggpht.com/uiaZTboQL70kryMEC8_mLjqh2LWIiqsrI91TrsLgTCvAIGG_-uikLbRYfqME2rj-EqKpbZMPvg=s176-c-k-c0x00ffffff-no-rj,False,1655402932.535331,compliment
36,36,Ugy1ML66gk1RlPQ_YGl4AaABAg,Hayup talaga. Pinaiyak mo don Ccccooonnngggtttiiibbbeeeeeee...... Hooh!,2 months ago,Arabianang Hilaw Vlogs,UCMpDnVJNX58WZaYWryhPfNA,0,https://yt3.ggpht.com/ytc/AMLnZu-h6zV565mtiirVHS3-5OvqYc991Rzxz4dxI8DT=s176-c-k-c0x00ffffff-no-rj,False,1655402932.539401,others
37,37,Ugz68imiFNlLQyhm8Jx4AaABAg,Boss Cong Ina Ali's nang team payaman stress namin ingat kayu lagi,2 months ago,Denzel Celerinos,UCKG3dockfGK87QTMU80m9IQ,0,https://yt3.ggpht.com/ytc/AMLnZu9RyJ1MdBdSBKNNXK7HqLapjHUz30WwVIGO6NK7hL8GAnHzddeHFG2ncNq3Ua_M=s176-c-k-c0x00ffffff-no-rj,False,1655402932.539401,others
38,38,Ugx8Njbcvcm4rhxnrKt4AaABAg,Since 2016 here. 🥰,2 months ago,Sharmy Salamat,UCpG9t8TNrrnEHlKtCSFJniA,0,https://yt3.ggpht.com/ytc/AMLnZu9LFBNsXN8qkYx2wm6orFUxu_KkuWefJB4Wf3p-=s176-c-k-c0x00ffffff-no-rj,False,1655402932.543311,others
39,39,UgxhkVqsACRGfvoftN54AaABAg,"Before 100k at ngayon 10M ka na. Ako andito parin, karamdaman lang sa spine nakuha ko 😢😂",2 months ago,OGre x,UCkU9fzhphvGQfEmQOXvWREQ,0,https://yt3.ggpht.com/X1w8DaqMzoxwwBaMWfYW3CC-aTQJdQXxNgXc66_T89IyUO0eLFz3eIOgAHV1T8vi-4dE3W07VA=s176-c-k-c0x00ffffff-no-rj,False,1655402932.55007,others
40,40,UgyR2YZZHRMXVyMnNZt4AaABAg,"Bilang isa sa mga nanonood simula sa 10 utos content, isa ako sa milyun-milyong kasama mong natutuwa sa tagumpay mo, Boss Cong. Salamat sa inspirasyon at mga makapangyarihang payo na binibigay mo sa mga subscribers at tagapanuod mo. Salamat sa Payaman Mindset na itinuro mo sa amin. Pinagdadasal ko na sana ay may marami pang susunod na tagumpay mong ikakatuwa ng mga sumusuporta sayo. More PAWER, Mossing.",2 months ago,Jerome Owrayt,UCpJIEe5fADUBiJA6EVds67A,0,https://yt3.ggpht.com/ytc/AMLnZu_oBJoUZ83ps1o6IMNhglAPMtgSrNKZ1KZhLQ=s176-c-k-c0x00ffffff-no-rj,False,1655402932.554081,compliment
41,41,UgxMRet7ATbF-cLn12J4AaABAg,Silang,2 months ago,Herong Gala,UCMHsHPX5cXV0hZ6_ggqqsEg,0,https://yt3.ggpht.com/uDQgiZ2K54cA8CB1gnRvBtLNqLj52FXySq8FIbm8skzJUCtmkztmTpC36c54Z0HdaGQf1-w6kA=s176-c-k-c0x00ffffff-no-rj,False,1655402932.554081,others
42,42,UgxK1psB0iHKwMnOstx4AaABAg,Inspiring hahaha medj nakakaiyak ngyon gawa ng stress sa thesis and pressure pamilya at sa future pati na rin sa unsure decisions hahahhaa thank you uncle for reminding us!! 💛☹️,2 months ago,Angelica Murillo,UCUxy35WKOAuiSzUv24Ig-Zg,0,https://yt3.ggpht.com/ytc/AMLnZu9KtKFeuTcUlzr8NB2Z_EOrpuJjcKBNM6XwUwnI=s176-c-k-c0x00ffffff-no-rj,False,1655402932.558082,compliment
43,43,UgxAfN2nSLatUmLARPl4AaABAg,"Congratulations lods!!! Very inspiring!!! Nakakaiyak!! Andito kami, kasama nyo sa tagumpay! Team Payaman. 🤟🏼🤟🏼🤟🏼",2 months ago,itsMeNesh,UC9BvztNsznvAAbblRalHDoA,1,https://yt3.ggpht.com/ytc/AMLnZu8zKP2qHxfBNQXjHKCa5kerpjDTPvTYpQJaGaYOJg=s176-c-k-c0x00ffffff-no-rj,False,1655402932.564995,compliment
